ID,ALIAS,FULL_NAME,CLUB,LEAGUE,NATIONALITY,OVERALL
0,C. López, Camilo López,FC Barcelona,Spanish Primera División,Chile,92
1,N.Kawas,Nebil Kawas,CD Palestino,Chilean Primera División,Chile,95
2,J.Castro,Jaime Castro,Real Madrid CF,Spanish Primera División,Chile,95
3,Cruz,Cristian Ruz,Cobreloa,Chilean Primera División,Chile,95
4,R.Schilling,Ricardo Schilling,Paris Saint-Germain,French Ligue 1,Brazil,90
5,Belén,Belén Saldías,Barcelona,Chilean Primera División,Chile,95
6,Flo B.,Florencia Barrios,Everton de Viña del Mar,Chilean Primera División,Chile,94
7,Fernando,Fernando Pieressa,Torino,Italian Serie A,Chile,93
8,Herny,Hernán Valdivieso,Chelsea,English Premier League,Chile,93
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,Real Madrid CF,Spanish Primera División,Portugal,94
158023,L. Messi,Lionel Messi,FC Barcelona,Spanish Primera División,Argentina,93
190871,Neymar,Neymar da Silva Santos Jr.,Paris Saint-Germain,French Ligue 1,Brazil,92
176580,L. Suárez,Luis Suárez,FC Barcelona,Spanish Primera División,Uruguay,92
167495,M. Neuer,Manuel Neuer,FC Bayern Munich,German Bundesliga,Germany,92
188545,R. Lewandowski,Robert Lewandowski,FC Bayern Munich,German Bundesliga,Poland,91
193080,De Gea,David De Gea Quintana,Manchester United,English Premier League,Spain,90
183277,E. Hazard,Eden Hazard,Chelsea,English Premier League,Belgium,90
182521,T. Kroos,Toni Kroos,Real Madrid CF,Spanish Primera División,Germany,90
167664,G. Higuaín,Gonzalo Higuaín,Juventus,Italian Serie A,Argentina,90
155862,Sergio Ramos,Sergio Ramos García,Real Madrid CF,Spanish Primera División,Spain,90
192985,K. De Bruyne,Kevin De Bruyne,Manchester City,English Premier League,Belgium,89
192119,T. Courtois,Thibaut Courtois,Chelsea,English Premier League,Belgium,89
184941,A. Sánchez,Alexis Sánchez,Arsenal,English Premier League,Chile,89
177003,L. Modrić,Luka Modrić,Real Madrid CF,Spanish Primera División,Croatia,89
173731,G. Bale,Gareth Bale,Real Madrid CF,Spanish Primera División,Wales,89
153079,S. Agüero,Sergio Agüero,Manchester City,English Premier League,Argentina,89
138956,G. Chiellini,Giorgio Chiellini,Juventus,Italian Serie A,Italy,89
1179,G. Buffon,Gianluigi Buffon,Juventus,Italian Serie A,Italy,89
211110,P. Dybala,Paulo Dybala,Juventus,Italian Serie A,Argentina,88
200389,J. Oblak,Jan Oblak,Atlético Madrid,Spanish Primera División,Slovenia,88
194765,A. Griezmann,Antoine Griezmann,Atlético Madrid,Spanish Primera División,France,88
189509,Thiago,Thiago Alcântara,FC Bayern Munich,German Bundesliga,Spain,88
188567,P. Aubameyang,Pierre-Emerick Aubameyang,Borussia Dortmund,German Bundesliga,Gabon,88
184344,L. Bonucci,Leonardo Bonucci,Milan,Italian Serie A,Italy,88
183907,J. Boateng,Jérôme Boateng,FC Bayern Munich,German Bundesliga,Germany,88
182493,D. Godín,Diego Godín,Atlético Madrid,Spanish Primera División,Uruguay,88
178603,M. Hummels,Mats Hummels,FC Bayern Munich,German Bundesliga,Germany,88
176635,M. Özil,Mesut Özil,Arsenal,English Premier League,Germany,88
167948,H. Lloris,Hugo Lloris,Tottenham Hotspur,English Premier League,France,88
164240,Thiago Silva,Thiago Emiliano da Silva,Paris Saint-Germain,French Ligue 1,Brazil,88
41236,Z. Ibrahimović,Zlatan Ibrahimović,Manchester United,English Premier League,Sweden,88
9014,A. Robben,Arjen Robben,FC Bayern Munich,German Bundesliga,Netherlands,88
215914,N. Kanté,N'Golo Kanté,Chelsea,English Premier League,France,87
199556,M. Verratti,Marco Verratti,Paris Saint-Germain,French Ligue 1,Italy,87
195864,P. Pogba,Paul Pogba,Manchester United,English Premier League,France,87
190460,C. Eriksen,Christian Eriksen,Tottenham Hotspur,English Premier League,Denmark,87
181872,A. Vidal,Arturo Vidal,FC Bayern Munich,German Bundesliga,Chile,87
179813,E. Cavani,Edinson Cavani,Paris Saint-Germain,French Ligue 1,Uruguay,87
176676,Marcelo,Marcelo Vieira da Silva,Real Madrid CF,Spanish Primera División,Brazil,87
171877,M. Hamšík,Marek Hamšík,Napoli,Italian Serie A,Slovakia,87
168651,I. Rakitić,Ivan Rakitić,FC Barcelona,Spanish Primera División,Croatia,87
168542,David Silva,David Josué Jiménez Silva,Manchester City,English Premier League,Spain,87
162835,S. Handanovič,Samir Handanovič,Inter,Italian Serie A,Slovenia,87
152729,Piqué,Gerard Piqué Bernabeu,FC Barcelona,Spanish Primera División,Spain,87
41,Iniesta,Andrés Iniesta Luján,FC Barcelona,Spanish Primera División,Spain,87
202126,H. Kane,Harry Kane,Tottenham Hotspur,English Premier League,England,86
198710,J. Rodríguez,James Rodríguez,FC Bayern Munich,German Bundesliga,Colombia,86
197781,Isco,Francisco Román Alarcón Suárez,Real Madrid CF,Spanish Primera División,Spain,86
197445,D. Alaba,David Alaba,FC Bayern Munich,German Bundesliga,Austria,86
192505,R. Lukaku,Romelu Lukaku,Manchester United,English Premier League,Belgium,86
191043,Alex Sandro,Alex Sandro Lobo Silva,Juventus,Italian Serie A,Brazil,86
189596,T. Müller,Thomas Müller,FC Bayern Munich,German Bundesliga,Germany,86
189511,Sergio Busquets,Sergio Busquets Burgos,FC Barcelona,Spanish Primera División,Spain,86
189242,Coutinho,Philippe Coutinho Correia,Liverpool,English Premier League,Brazil,86
188350,M. Reus,Marco Reus,Borussia Dortmund,German Bundesliga,Germany,86
184087,T. Alderweireld,Toby Alderweireld,Tottenham Hotspur,English Premier League,Belgium,86
179944,David Luiz,David Luiz Moreira Marinho,Chelsea,English Premier League,Brazil,86
179844,Diego Costa,Diego da Silva Costa,Chelsea,English Premier League,Spain,86
178518,R. Nainggolan,Radja Nainggolan,Roma,Italian Serie A,Belgium,86
177610,Javi Martínez,Javier Martínez Aginaga,FC Bayern Munich,German Bundesliga,Spain,86
175943,D. Mertens,Dries Mertens,Napoli,Italian Serie A,Belgium,86
172879,Sokratis,Sokratis Papastathopoulos,Borussia Dortmund,German Bundesliga,Greece,86
168609,Miranda,João Miranda de Souza Filho,Inter,Italian Serie A,Brazil,86
165153,K. Benzema,Karim Benzema,Real Madrid CF,Spanish Primera División,France,86
162895,Cesc Fàbregas,Francesc Fàbregas i Soler,Chelsea,English Premier League,Spain,86
156616,F. Ribéry,Franck Ribéry,FC Bayern Munich,German Bundesliga,France,86
120533,Pepe,Képler Laveran Lima Ferreira,Beşiktaş JK,Turkish Süper Lig,Portugal,86
48940,P. Čech,Petr Čech,Arsenal,English Premier League,Czech Republic,86
208418,Y. Carrasco,Yannick Carrasco,Atlético Madrid,Spanish Primera División,Belgium,85
201535,R. Varane,Raphaël Varane,Real Madrid CF,Spanish Primera División,France,85
201153,Morata,Álvaro Borja Morata Martín,Chelsea,English Premier League,Spain,85
200145,Casemiro,Carlos Henrique Venancio Casimiro,Real Madrid CF,Spanish Primera División,Brazil,85
198219,L. Insigne,Lorenzo Insigne,Napoli,Italian Serie A,Italy,85
193747,Koke,Jorge Resurrección,Atlético Madrid,Spanish Primera División,Spain,85
193301,A. Lacazette,Alexandre Lacazette,Arsenal,English Premier League,France,85
193041,K. Navas,Keylor Navas,Real Madrid CF,Spanish Primera División,Costa Rica,85
192883,H. Mkhitaryan,Henrikh Mkhitaryan,Manchester United,English Premier League,Armenia,85
192593,D. Subašić,Danijel Subašić,AS Monaco,French Ligue 1,Croatia,85
192563,B. Leno,Bernd Leno,Bayer 04 Leverkusen,German Bundesliga,Germany,85
192448,M. ter Stegen,Marc-André ter Stegen,FC Barcelona,Spanish Primera División,Germany,85
190547,K. Glik,Kamil Glik,AS Monaco,French Ligue 1,Poland,85
189332,Jordi Alba,Jordi Alba Ramos,FC Barcelona,Spanish Primera División,Spain,85
186942,I. Gündoğan,İlkay Gündoğan,Manchester City,English Premier League,Germany,85
184432,Azpilicueta,César Azpilicueta Tanco,Chelsea,English Premier League,Spain,85
183898,A. Di María,Ángel Di María,Paris Saint-Germain,French Ligue 1,Argentina,85
180206,M. Pjanić,Miralem Pjanić,Juventus,Italian Serie A,Bosnia Herzegovina,85
173210,C. Marchisio,Claudio Marchisio,Juventus,Italian Serie A,Italy,85
172871,J. Vertonghen,Jan Vertonghen,Tottenham Hotspur,English Premier League,Belgium,85
170890,B. Matuidi,Blaise Matuidi,Juventus,Italian Serie A,France,85
167628,S. Ruffier,Stéphane Ruffier,AS Saint-Étienne,French Ligue 1,France,85
164169,Filipe Luís,Filipe Luís Kasmirski,Atlético Madrid,Spanish Primera División,Brazil,85
139720,V. Kompany,Vincent Kompany,Manchester City,English Premier League,Belgium,85
137186,A. Barzagli,Andrea Barzagli,Juventus,Italian Serie A,Italy,85
225508,E. Bailly,Eric Bailly,Manchester United,English Premier League,Ivory Coast,84
220834,Marco Asensio,Marco Asensio Willemsen,Real Madrid CF,Spanish Primera División,Spain,84
218667,Bernardo Silva,Bernardo Mota Carvalho e Silva,Manchester City,English Premier League,Portugal,84
212218,A. Laporte,Aymeric Laporte,Athletic Club de Bilbao,Spanish Primera División,France,84
211117,D. Alli,Dele Alli,Tottenham Hotspur,English Premier League,England,84
208722,S. Mané,Sadio Mané,Liverpool,English Premier League,Senegal,84
204963,Carvajal,Daniel Carvajal Ramos,Real Madrid CF,Spanish Primera División,Spain,84
202166,J. Draxler,Julian Draxler,Paris Saint-Germain,French Ligue 1,Germany,84
201399,M. Icardi,Mauro Icardi,Inter,Italian Serie A,Argentina,84
201024,K. Koulibaly,Kalidou Koulibaly,Napoli,Italian Serie A,Senegal,84
200316,T. Horn,Timo Horn,1. FC Köln,German Bundesliga,Germany,84
192774,K. Manolas,Kostas Manolas,Roma,Italian Serie A,Greece,84
192227,S. Mustafi,Shkodran Mustafi,Arsenal,English Premier League,Germany,84
191740,Ander Herrera,Ander Herrera Agüera,Manchester United,English Premier League,Spain,84
191202,N. Matić,Nemanja Matić,Manchester United,English Premier League,Serbia,84
189712,K. Strootman,Kevin Strootman,Roma,Italian Serie A,Netherlands,84
189505,Pedro,Pedro Rodríguez Ledesma,Chelsea,English Premier League,Spain,84
189117,R. Bürki,Roman Bürki,Borussia Dortmund,German Bundesliga,Switzerland,84
184120,Bruno,Bruno Soriano Llido,Villarreal CF,Spanish Primera División,Spain,84
181458,I. Perišić,Ivan Perišić,Inter,Italian Serie A,Croatia,84
180930,E. Džeko,Edin Džeko,Roma,Italian Serie A,Bosnia Herzegovina,84
180403,Willian,Willian Borges da Silva,Chelsea,English Premier League,Brazil,84
179846,S. Khedira,Sami Khedira,Juventus,Italian Serie A,Germany,84
179783,R. Fährmann,Ralf Fährmann,FC Schalke 04,German Bundesliga,Germany,84
178750,Sergio Asenjo,Sergio Asenjo Andrés,Villarreal CF,Spanish Primera División,Spain,84
178088,Juan Mata,Juan Manuel Mata García,Manchester United,English Premier League,Spain,84
177509,M. Benatia,Medhi Benatia,Juventus,Italian Serie A,Morocco,84
167397,Falcao,Radamel Falcao García Zarate,AS Monaco,French Ligue 1,Colombia,84
165229,L. Koscielny,Laurent Koscielny,Arsenal,English Premier League,France,84
164468,G. Cahill,Gary Cahill,Chelsea,English Premier League,England,84
146530,Dani Alves,Daniel Alves da Silva,Paris Saint-Germain,French Ligue 1,Brazil,84
143076,A. Gómez,Alejandro Gómez,Atalanta,Italian Serie A,Argentina,84
106231,Aduriz,Aritz Aduriz Zubeldia,Athletic Club de Bilbao,Spanish Primera División,Spain,84
231747,K. Mbappé,Kylian Mbappé,Paris Saint-Germain,French Ligue 1,France,83
231443,O. Dembélé,Ousmane Dembélé,FC Barcelona,Spanish Primera División,France,83
220971,N. Keïta,Naby Keïta,RB Leipzig,German Bundesliga,Guinea,83
216460,J. Giménez,José María Giménez,Atlético Madrid,Spanish Primera División,Uruguay,83
